UserId,ReviewCount,AvgScore,VsOverallAvg
d29d7848d996429bbc2be21571c8819a5513b40ba8df2eab6a657a02f9efea5a,448,4.54,0.36
6d712877b5bdd457e6e82cfb722a44928170a437d027ebe138f87292b618aff2,421,4.49,0.31
45df0013347f6005d5886497f0ca8ce57385de20dd38c89eb08035a6ac59c277,389,4.65,0.47
700861d24b6f7f8971a6d0292b447b5a66a4dd8090340029cfb7bfb1ef4a5538,365,4.84,0.66
4c6eea15ff044da5adc44a325cfd140cf6dad671d1a3be5c0cc5d5b60757751c,256,4.45,0.27
47c8179806e3c21921c10e8e5bab1eeccf2d39be18b438e68454992f81a01f58,204,4.83,0.65
a93ebd2a5fb272e0b24ced6216878a7a14c7b1e7bff606f3555779e9c6a92701,201,3.75,-0.43
44e10fb3f2ee7049e33acb11c6da4de175492c910d5b03b35df87b864f82e627,199,1,-3.18
9dfbe2ed2aa1595a689ee88b011330bacdeefaa528575da26b037a29f79afd11,178,4.6,0.42
22a9c8072dc9cb60cf52867b2c0d74e8ad999f53e72f668e899ef65d878c9ae0,176,3.95,-0.23
93f56e6394dbc5314aa3ba709b66ed27fbda4b1d1188c594f763aeee80c09943,175,3.83,-0.35
587c088eea8322b80dc78cb1743716258c97179e6af20c465ad42e84fdf2d8f5,172,4.99,0.81
fd721b08e7d07c79952905ae01e2f3b95bd86fe4c05dc080da126055ec97223b,167,4.89,0.71
ff243b7cec85b107332b9de45c3b61d9c976ee5fc3dc279a63f93ecb798e2eb8,162,4.5,0.32
b118dda5e4b4684715488e2ee5f8faf42f49c92feb952640ca18274c3f185a90,162,4.19,0.01
07bdc4b8dd163c4f208990a182227b7c440b4387023962e9222a16ade283b603,161,4.27,0.09
b088a2327982fdda6040e0b665e67c11f319b80cf4fe54ac1c4f35f1e8df1f3e,157,4.1,-0.08
d9cf13ff14475b5687b42bbd40d91c155420c0f73b968f54b83998ddedad4254,155,4.78,0.6
1eed6ecea9304b1d975977beaf1dce14ad4525490601dce78c0f976bcb0175e1,154,4.99,0.81
a81a2c6176bfdb0a3a3cd713352321a84461a45aadc05583dfc0fa3be39925fd,151,4.12,-0.06
81dbe540a80c5d8231313903c0b31f4849c0fd3523e9cbd461bc6b00d9de2f9a,150,4.42,0.24
8f61508be6e80569fae215db022597d8f9260f975b0bd12197d9503716bf7420,150,4.2,0.02
fa8c6f4de2bb449cfadb9cd437ad1eb997d5e97ba5f1d10767055cbe1e9b1a50,149,4.48,0.3
624c9e5d73c7cafd86f1250acad59daba293fc87acca80d8d3010abe00cc80be,143,2.1,-2.08
56739497fd5573828b9fba3e3c425f913ad88b0a9a6a1f600acbda669afe47a2,143,4.08,-0.1
7057fd1de53047f467e952ecd376cc69beba4c247952be5daf42a7598e0afb4f,142,4.31,0.13
aedd0f375eacf87fc447c49b6c29ab4dae0a7ab41374451d3d1cfa1902455d03,141,3.46,-0.72
561bdbf84577f3003b80c190bf6e26efb97e91704df550e74a92059c2c406624,140,4.59,0.41
b00674c9ba7e0f75a10be002ef4d0d5e29e9c57023d77f72b2a7baddcba3ef6d,135,4.84,0.66
ccd3abdfd632829261b0da331d86e0f35005a5e36a59f9a9237e51945974abdb,134,3.92,-0.26
bd8f152a1fc514242e3cebdf1a34d324eb72ffab09a6eff7dee54555e9deba5c,133,3.63,-0.55
c8e7e8767264e424a2ffc8819e233a756c35a958fd006d291e41ab80dfa0ab9a,133,4.48,0.3
9c26ec71cff765071af72c2a8487c436efeb3e5954ebfc5000616e5b72fa5df4,127,4.76,0.58
dcae7be6cc832605ad77b30e79c7d2eaf4d6d8433d605cee7fcb6004c952f844,126,4.63,0.45
d7881de6384fa7bd03d0c10fc1ae9b3cd5cbe3e4ab72c0dc4d52e76c358446c2,125,4.57,0.39
a94e959391c34e01b463a9ef07a747a97e2b7109f1210acc93bd0d6ecfcbebf8,125,4.94,0.76
4485da2a009b0829aaeaa68768df04fe0c2ecfdf20927b9667485ee5d3567375,124,4.15,-0.03
ee5bcac8d42e141524f3fc695dabe93fff2724995aad226d70d164e2fe355473,123,4.72,0.54
5eb584061650f32977fa3d6beb450000fe090bef45f0b97f016848d8a9d2835a,121,4.26,0.08
55a1bfa02da4e0819963ab7a1545c86844a2988a088f7fa7f2af67074cbe6d7d,120,4.54,0.36
9c5f881f1a32ae4c9572b3b8b79b5b559420a939cc52968c101315ea81407531,119,3.59,-0.59
3f070458468b049ca9c4c192440469178f605bb56fa7cfa4fa0592432a5f311d,118,4.53,0.35
6515bd85ce5722662c2450467f259adb9656e599eb3b46395ea117e9c377d58b,117,4.7,0.52
1b7eaf605f562b941ff9a797347130ac908d3e2cf49fab730440222226cb45ca,116,4.08,-0.1
0616b50696f6876105ac9f5d0d658155c4c7f2ac9ab4d7233840d748bb28f8c5,115,3.27,-0.91
92a4124c63acd468526461834bd384086746f6533a22728afc0b3d8676757054,114,4.61,0.43
6b90064c8c94bcf27c533443e4331dc52440721bb6391073f573f6d01ce7766c,114,4.32,0.14
2bbaea39aa7d678832fae6226968b83cdae4fe6d982b648fd2908574e3200761,113,4.13,-0.05
e0eceb032070887a43746f777497bd4bd410cc3f138994c7de977bcf3d67ed76,113,4.48,0.3
cfb95af88ff60931f02af100a0053aab47b1d0065062db0b7dbf71b0a6513620,113,4.55,0.37
80ae7c649cbd08aa9316db390652f8e45e36a93d9542dbe123e8ca857522e507,111,4.72,0.54
fb8cab3c5ef21a4fdaae9d40b28ca3bb8046d9e967a2afbf7c5c417e6e464b31,110,4.25,0.07
2047e40256eddbb8c98a6b1e0a1b5e82b8299059fc044dcf45dcb38f04012aaa,110,2.73,-1.45
14b82d1c7502c99625d241ec779a68ce475162ddab4fbc8a1e1befd6df7240b9,109,4.43,0.25
ba89ee1a80c9aa97a83e711cbb2a92cafee8ecfee3089ccb4e5d9868b23f92ab,107,4.79,0.61
dfe6b899d97b2388b21af21af0d5565de8ca64147670a1f5bc52f93b6b8df8e7,107,4.77,0.59
43d4f6dad56bfb07216995886cf6936ff1a3a1d9ca12b8a7aa6c65f67062f087,106,4.52,0.34
967651c3b6d6a5e899fc397c28eeb20f1d032aaee16f1e3e24948c540c334ec8,105,4.84,0.66
3b1ce8d9aa099d68adff841e60e1e45d94ba82927416c960d268b8a6e15fec89,105,4.66,0.48
014ea897f9c38cbb1dbd4c7a42f08f2b850fc401de2508d2f4f81d78fed3e103,105,4.72,0.54
185435961698fb26d7311c058024d3cbbe216c3ab0b96c5c378dee996568a161,104,4.36,0.18
af2df3cd08d5967ec04fe73c79a8bfd72bbbff9dcf2b01162c3b6102eb9c742d,104,4.59,0.41
532e277c7af40ea15b8fa63b81b1fbdb3bf5531a0822870de5d8547ea0b9643c,104,4.58,0.4
af8c267592ed1f9c163ddbd4d5ccb732b0257339bf06f491f35971134cf79160,99,4.89,0.71
c4324f135c4e5014080d40d33ba9fb15324a3f464cfdcbcbb5d909a497896a62,98,4.73,0.55
cc437fc0130533830237f21ffb062739b4a79bbb627de389a1f46d4953b09495,98,3.58,-0.6
f2632d082bb6c7e6ce8b602c8075ccadd84f14ab5da4dd7ef8d559b552ad0bca,98,4.36,0.18
1126b71f8ebbb5cd52aed2a1179be92ce2114d33571c0da06ec11e367aff0be6,96,4.33,0.15
5a757228eb1a2677742a17920dc3c847de69156419cbccdcdc704f7ed86a181c,96,3.59,-0.59
d227a3f14ae34d897d4728f7a5e8bb9a7ffbed2ab9818034ac95991a20586b0b,95,4.48,0.3
feef98689c4010aa1a8cd0a3434c46e9abf9647d7640103d441fdecba6db314f,95,4.4,0.22
947409e8af83046dfdbd2d28bfcfbcfb671d487cfa9f5fbd0afab0f832c88296,94,4.67,0.49
1ac2ffb7e9e0a3d8355739b350c9c15eb7bbe3695f3a101ee9ba222b87b6e0c2,94,4.12,-0.06
b0f875526e4cae0f5de8c040b4d2311cf77c62f6de787aaa6a041e43f0e67c20,94,3.73,-0.45
10aa0e509321ed5fc6c80f50f04f35a3c18960592798735060ddf615b9a2c225,92,4.76,0.58
a840821e82f5d4c367fda847161872404b1f35d1cadaa6b66c348964e5aa4189,92,4.88,0.7
5a2e9280c12fc6993733d35589949401e4bf42a870b2244e865515bc234246c4,90,3.91,-0.27
9b76bc7535aa22c0b25c813bf3518bc231398395b719186043500ce5d3489830,89,4.93,0.75
